,OFFENSE,Name,YEAR,TotalNeighborhoodCrime
372,THEFT/OTHER,Petworth,2019,501
373,BURGLARY,Sixteenth Street Heights,2019,813
374,THEFT F/AUTO,Shaw,2019,1837
375,THEFT F/AUTO,Capitol Hill,2019,1598
376,THEFT/OTHER,Columbia Heights,2019,1892
377,THEFT F/AUTO,Dupont Circle,2019,1134
378,THEFT/OTHER,Capitol Hill,2019,1598
379,THEFT/OTHER,NoMa,2019,441
380,THEFT/OTHER,Shaw,2019,1837
381,THEFT/OTHER,Dupont Circle,2019,1134
382,THEFT F/AUTO,Shaw,2019,1837
383,THEFT/OTHER,Columbia Heights,2019,1892
384,ROBBERY,Shaw,2019,1837
385,THEFT F/AUTO,Capitol Hill,2019,1598
386,MOTOR VEHICLE THEFT,Adams Morgan,2019,635
387,THEFT F/AUTO,Anacostia,2019,248
388,THEFT/OTHER,Adams Morgan,2019,635
389,THEFT F/AUTO,Petworth,2019,501
390,THEFT F/AUTO,Capitol Hill,2019,1598
391,THEFT F/AUTO,Sixteenth Street Heights,2019,813
392,THEFT F/AUTO,NoMa,2019,441
393,ROBBERY,Sixteenth Street Heights,2019,813
394,ROBBERY,U Street Corridor,2019,288
395,THEFT F/AUTO,Shaw,2019,1837
396,THEFT/OTHER,Shaw,2019,1837
397,THEFT F/AUTO,Shaw,2019,1837
398,THEFT/OTHER,Shaw,2019,1837
399,THEFT/OTHER,Columbia Heights,2019,1892
400,THEFT/OTHER,U Street Corridor,2019,288
401,THEFT F/AUTO,Columbia Heights,2019,1892
402,THEFT F/AUTO,Sixteenth Street Heights,2019,813
403,THEFT F/AUTO,Shaw,2019,1837
404,ASSAULT W/DANGEROUS WEAPON,Anacostia,2019,248
405,THEFT F/AUTO,Dupont Circle,2019,1134
406,BURGLARY,Shaw,2019,1837
407,MOTOR VEHICLE THEFT,Petworth,2019,501
408,THEFT/OTHER,Columbia Heights,2019,1892
409,THEFT/OTHER,Shaw,2019,1837
410,THEFT/OTHER,Adams Morgan,2019,635
411,THEFT/OTHER,Anacostia,2019,248
412,THEFT F/AUTO,Columbia Heights,2019,1892
413,THEFT F/AUTO,Columbia Heights,2019,1892
414,THEFT/OTHER,Columbia Heights,2019,1892
415,ROBBERY,Navy Yard,2019,359
416,THEFT F/AUTO,U Street Corridor,2019,288
417,THEFT/OTHER,Capitol Hill,2019,1598
418,THEFT/OTHER,Columbia Heights,2019,1892
419,THEFT F/AUTO,U Street Corridor,2019,288
420,BURGLARY,Capitol Hill,2019,1598
421,ROBBERY,Adams Morgan,2019,635
422,ROBBERY,Shaw,2019,1837
423,THEFT F/AUTO,Shaw,2019,1837
424,THEFT/OTHER,Shaw,2019,1837
425,THEFT/OTHER,NoMa,2019,441
426,MOTOR VEHICLE THEFT,Columbia Heights,2019,1892
427,BURGLARY,NoMa,2019,441
428,BURGLARY,Shaw,2019,1837
429,THEFT/OTHER,Dupont Circle,2019,1134
430,THEFT/OTHER,Sixteenth Street Heights,2019,813
431,THEFT F/AUTO,Shaw,2019,1837
432,BURGLARY,Adams Morgan,2019,635
433,THEFT/OTHER,Columbia Heights,2019,1892
434,THEFT F/AUTO,Capitol Hill,2019,1598
435,THEFT F/AUTO,Columbia Heights,2019,1892
436,THEFT/OTHER,Shaw,2019,1837
437,THEFT/OTHER,Navy Yard,2019,359
438,THEFT/OTHER,Petworth,2019,501
439,THEFT/OTHER,Petworth,2019,501
440,THEFT F/AUTO,Dupont Circle,2019,1134
441,THEFT F/AUTO,Shaw,2019,1837
442,THEFT F/AUTO,Dupont Circle,2019,1134
443,BURGLARY,Dupont Circle,2019,1134
444,THEFT/OTHER,Capitol Hill,2019,1598
445,ROBBERY,Shaw,2019,1837
446,ASSAULT W/DANGEROUS WEAPON,Columbia Heights,2019,1892
447,THEFT/OTHER,Capitol Hill,2019,1598
448,THEFT/OTHER,Sixteenth Street Heights,2019,813
449,THEFT/OTHER,Capitol Hill,2019,1598
450,ASSAULT W/DANGEROUS WEAPON,Anacostia,2019,248
451,THEFT F/AUTO,Columbia Heights,2019,1892
452,THEFT/OTHER,Adams Morgan,2019,635
453,MOTOR VEHICLE THEFT,Dupont Circle,2019,1134
454,THEFT F/AUTO,Capitol Hill,2019,1598
455,THEFT F/AUTO,Petworth,2019,501
456,THEFT F/AUTO,Dupont Circle,2019,1134
457,THEFT/OTHER,Dupont Circle,2019,1134
458,THEFT F/AUTO,Dupont Circle,2019,1134
459,THEFT F/AUTO,Capitol Hill,2019,1598
460,THEFT/OTHER,Columbia Heights,2019,1892
461,THEFT/OTHER,NoMa,2019,441
462,THEFT/OTHER,Dupont Circle,2019,1134
463,THEFT/OTHER,Capitol Hill,2019,1598
464,THEFT/OTHER,Sixteenth Street Heights,2019,813
465,THEFT/OTHER,Petworth,2019,501
466,THEFT F/AUTO,Columbia Heights,2019,1892
467,THEFT F/AUTO,Capitol Hill,2019,1598
